53,,1,'en','1955159294',21,1,64,168,'A2',,,,,,,,,,,,,,,,,,,,,,,,,,
54,,1,'en','464340769',20,1,55,158,'A2',,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,'en','443563927',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,'en','1249836156',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,'en','705436757',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,'01-01-1980 00:00:00',2,'en','1523350618',20,1,55,168,'A3',,3,4,5,3,3,3,2,4,3,4,4,3,3,3,2,3,2,4,5,4,4,4,6,3,2
59,'01-01-1980 00:00:00',2,'en','914073782',22,1,60,160,'A3',,3,6,6,2,2,6,2,2,5,6,5,5,3,5,3,3,6,6,6,6,5,3,4,4,1
60,'01-01-1980 00:00:00',2,'en','915305183',22,2,62,174,'A2',,5,6,6,5,1,5,1,2,4,3,2,3,4,4,2,3,4,3,4,4,4,4,4,5,1
61,'01-01-1980 00:00:00',2,'en','478221091',20,1,51,163,'A2',,2,3,6,1,3,1,4,6,6,6,5,5,3,5,1,3,2,2,3,6,6,4,4,6,4
62,,,'en','378902449',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,'en','482861511',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,'01-01-1980 00:00:00',2,'en','1636541078',24,1,55,157,'A2',,6,6,6,3,1,3,2,3,4,2,2,1,4,6,4,1,5,6,6,4,4,5,4,4,3
65,,1,'en','640398734',21,1,70,178,'A2',,,,,,,,,,,,,,,,,,,,,,,,,,
66,'01-01-1980 00:00:00',2,'en','535320334',24,1,75,170,'A3',,3,6,6,3,1,3,3,4,5,5,4,4,3,3,2,3,2,5,4,5,6,5,5,4,2
67,,1,'en','804016231',23,1,68,160,'A2',,,,,,,,,,,,,,,,,,,,,,,,,,
68,'01-01-1980 00:00:00',2,'en','1090971643',22,1,89,172,'A2',,4,6,6,5,4,5,2,2,4,5,2,5,4,5,5,4,4,4,4,5,5,4,3,4,3
69,'01-01-1980 00:00:00',2,'en','1380052606',22,1,58,162,'A3',,6,6,6,5,5,5,2,2,3,2,2,6,5,6,3,4,5,5,5,5,6,2,2,4,3
70,,,'en','1038901692',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,'01-01-1980 00:00:00',2,'en','719525241',22,1,78,168,'A2',,5,6,6,4,2,4,2,3,4,4,4,6,4,6,6,4,2,3,4,4,4,2,6,2,2
72,'01-01-1980 00:00:00',2,'en','250374695',22,1,63,169,'A2',,2,4,5,3,1,4,3,3,5,4,4,3,2,3,1,2,3,5,3,5,5,4,4,4,3
73,'01-01-1980 00:00:00',2,'en','35983084',21,1,56,172,'A2',,4,5,5,1,2,5,3,5,4,3,4,6,5,6,5,6,4,5,4,6,5,2,6,3,2
74,'01-01-1980 00:00:00',2,'en','1511106427',24,2,115,178,'A3',,3,5,5,4,2,2,3,3,3,5,4,5,5,5,2,5,3,4,4,6,6,3,5,6,5
75,'01-01-1980 00:00:00',2,'en','602635087',24,1,62,166,'-oth-','Abitur',2,2,6,2,1,4,3,4,6,6,5,3,2,1,3,1,2,2,2,5,3,4,6,3,4
76,'01-01-1980 00:00:00',2,'en','888861734',22,1,56,167,'A2',,3,4,4,3,3,3,3,3,6,5,3,4,2,4,3,4,3,2,2,5,5,5,6,5,4
77,'01-01-1980 00:00:00',2,'en','1998711875',20,1,55,165,'A2',,3,5,6,2,2,5,2,3,4,4,4,3,3,3,2,3,3,4,3,5,4,2,4,4,2
78,'01-01-1980 00:00:00',2,'en','994748487',21,1,55,163,'A2',,3,2,3,3,2,2,5,5,5,5,4,4,2,3,2,4,3,3,3,6,5,4,5,6,4
